commune,latitude,longitude,sport,source
Saint-Denis-en-Val,47.87596,1.95889,tennis,equipement
Saint-Jean-de-Braye,47.91552,1.97982,tennis,equipement
Saint-Pryvé-Saint-Mesmin,47.887259,1.872343,tennis,equipement
Sermaises,48.29039,2.20247,tennis,equipement
Vienne-en-Val,47.8041369135,2.13178485632,tennis,equipement
Villemandeur,47.98853,2.71364,tennis,equipement
Martel,44.9072632937,1.62552675651,tennis,equipement
Rocamadour,44.81068,1.6296,tennis,equipement
Saint-Laurent-les-Tours,44.86903,1.89675,tennis,equipement
Bajamont,44.26638,0.7072,tennis,equipement
Bias,44.41615,0.66293,tennis,equipement
Lévignac-de-Guyenne,44.62663,0.19981,tennis,equipement
Marmande,44.5069,0.15731,tennis,equipement
Masquières,44.39974,1.02963,tennis,equipement
Miramont-de-Guyenne,44.58914,0.37318,tennis,equipement
Monflanquin,44.52821,0.75117,tennis,equipement
Pujols,44.38035,0.69943,tennis,equipement
Villeneuve-sur-Lot,44.41653,0.72095,tennis,equipement
La Canourgue,44.43166,3.22152,tennis,equipement
Le Collet-de-Dèze,44.2434663093,3.9207119029,tennis,equipement
Marvejols,44.55075,3.30247,tennis,equipement
Naussac-Fontanes,44.73286,3.83699,tennis,equipement
Saint-Alban-sur-Limagnole,44.7786,3.37985,tennis,equipement
Saint-Germain-de-Calberte,44.22595,3.8015,tennis,equipement
Baugé-en-Anjou,47.5392833088,-0.0954136933912,tennis,equipement
Bouchemaine,47.43118,-0.61152,tennis,equipement
Bouchemaine,47.4494228255,-0.610461003976,tennis,equipement
Chemillé-en-Anjou,47.2155058602,-0.605486744359,tennis,equipement
Cholet,47.0407634094,-0.862603213222,tennis,equipement
Coron,47.1302097571,-0.64833704821,tennis,equipement
Longué-Jumelles,47.3744325898,-0.114518795636,tennis,equipement
Montreuil-Juigné,47.5258954455,-0.607193112373,tennis,equipement
Mûrs-Erigné,47.4002885669,-0.542386091212,tennis,equipement
Saint-Barthélemy-d'Anjou,47.4876533571,-0.501237369786,tennis,equipement
Saint-Lambert-la-Potherie,47.4778915322,-0.681407153606,tennis,equipement
Saint-Melaine-sur-Aubance,47.39419,-0.50587,tennis,equipement
Saumur,47.23803,-0.09558,tennis,equipement
Vernantes,47.394629733,0.0555892068041,tennis,equipement
Vezins,47.11769,-0.71111,tennis,equipement
Agon-Coutainville,49.046891,-1.59547,tennis,equipement
Agon-Coutainville,49.05029,-1.596607,tennis,equipement
Barneville-Carteret,49.3799,-1.78993,tennis,equipement
Cherbourg-en-Cotentin,49.64042,-1.59256,tennis,equipement
Ducey-Les Chéris,48.61808,-1.29296,tennis,equipement
Granville,48.842343,-1.591859,tennis,equipement
Isigny-le-Buat,48.614988,-1.164824,tennis,equipement
Périers,49.184592,-1.402958,tennis,equipement
Port-Bail-sur-Mer,49.338846,-1.699041,tennis,equipement
Saint-Denis-le-Vêtu,48.988169,-1.399767,tennis,equipement
Saint-Georges-Montcocq,49.1302,-1.09568,tennis,equipement
Sainte-Mère-Église,49.4095617682,-1.31030526015,tennis,equipement
Saint-Vaast-la-Hougue,49.57766,-1.27327,tennis,equipement
Sartilly-Baie-Bocage,48.7526,-1.45116,tennis,equipement
