insee_com;annee;nb_mutations;nb_maisons;nb_apparts;prop_maison;prop_appart;prix_moyen;prix_m2_moyen;surface_moy;dep_code
77368;2024;5;5.0;0.0;0.0;100.0;160600;1755;91;77
77369;2024;3;3.0;0.0;0.0;100.0;273333;1827;160;77
77370;2024;11;11.0;0.0;0.0;100.0;226774;2294;108;77
77371;2024;40;39.0;1.0;2.0;98.0;248758;2757;99;77
77372;2024;35;18.0;17.0;49.0;51.0;349907;4060;84;77
77373;2024;287;139.0;148.0;52.0;48.0;266502;3911;73;77
77374;2024;32;26.0;6.0;19.0;81.0;310149;3700;87;77
77376;2024;7;7.0;0.0;0.0;100.0;308264;2812;116;77
77377;2024;20;18.0;2.0;10.0;90.0;485084;3728;122;77
77378;2024;35;23.0;12.0;34.0;66.0;296045;3256;94;77
77379;2024;122;56.0;66.0;54.0;46.0;160892;2049;80;77
77380;2024;4;4.0;0.0;0.0;100.0;213788;2349;99;77
77381;2024;3;3.0;0.0;0.0;100.0;223353;1992;115;77
77382;2024;51;46.0;5.0;10.0;90.0;296488;3176;100;77
77383;2024;1;1.0;0.0;0.0;100.0;340000;2012;169;77
77384;2024;10;8.0;2.0;20.0;80.0;233473;4007;60;77
77385;2024;24;23.0;1.0;4.0;96.0;173897;1892;92;77
77386;2024;6;6.0;0.0;0.0;100.0;220833;2564;95;77
77387;2024;2;2.0;0.0;0.0;100.0;178000;1195;148;77
77388;2024;5;5.0;0.0;0.0;100.0;220510;2552;91;77
77389;2024;45;26.0;19.0;42.0;58.0;266429;2969;88;77
77390;2024;160;101.0;59.0;37.0;63.0;274134;3400;83;77
77391;2024;8;8.0;0.0;0.0;100.0;172230;2242;89;77
77392;2024;10;10.0;0.0;0.0;100.0;308837;3466;89;77
77393;2024;23;19.0;4.0;17.0;83.0;244130;2780;94;77
77394;2024;15;13.0;2.0;13.0;87.0;330242;2939;116;77
77397;2024;21;19.0;2.0;10.0;90.0;180552;2111;93;77
77398;2024;4;4.0;0.0;0.0;100.0;148292;1812;81;77
77400;2024;22;22.0;0.0;0.0;100.0;270103;2748;102;77
